kind,sample,session,source_goal,target_goal,horizon,cycle_full,cycle_semantic,cycle_execution,ground_truth_cycle_full,target_distance,execution_target_distance,target_rank,endpoint_error,decoded_action_mse,future_latent_mse,execution_knn_radius,local_pca_normal_distance,trajectory_jump
observed,119,24,push_pink_block_right,push_pink_block_right,4,2.57588791847229,1.8108450174331665,1.8319495916366577,0.6868388056755066,4.579886436462402,1.7354005575180054,3,1,0.06202824041247368,1.199681043624878,1.7354005575180054,1.2954720258712769,0.26340582966804504
observed,120,24,lift_red_block_table,lift_red_block_table,4,2.6777591705322266,2.4998271465301514,0.9598227143287659,0.8152674436569214,3.352355480194092,2.4034390449523926,2,1,0.03445081040263176,0.41641271114349365,2.4034390449523926,1.4644547700881958,0.2677670419216156
observed,121,24,place_in_slider,place_in_slider,4,3.084216356277466,3.017700433731079,0.6370828747749329,0.9031627774238586,4.469618320465088,3.1227660179138184,4,1,0.044291675090789795,1.2189635038375854,3.1227660179138184,0.9202603101730347,0.28681620955467224
observed,122,24,turn_on_lightbulb,turn_on_lightbulb,4,3.8603320121765137,1.6786596775054932,3.476243019104004,2.860898494720459,3.9697957038879395,3.184657573699951,3,1,0.11671724170446396,3.673798084259033,3.184657573699951,1.1804949045181274,0.22644038498401642
observed,123,24,push_pink_block_right,push_pink_block_right,4,2.3757026195526123,2.0227856636047363,1.2459138631820679,0.9097005128860474,3.6672816276550293,2.347304344177246,1,0,0.05515532195568085,2.524836778640747,2.347304344177246,2.0244569778442383,0.6084996461868286
observed,124,24,place_in_slider,place_in_slider,4,2.8255679607391357,2.45632004737854,1.3965407609939575,0.5971779227256775,5.556248664855957,3.904797077178955,6,1,0.022752681747078896,0.2466527372598648,3.904797077178955,1.4652208089828491,0.19192753732204437
observed,125,24,lift_blue_block_slider,lift_blue_block_slider,4,2.904573917388916,2.4515748023986816,1.5576682090759277,0.42075562477111816,4.723846435546875,2.9162230491638184,2,1,0.06712082773447037,1.7651655673980713,2.9162230491638184,1.4595792293548584,0.3513390123844147
observed,126,24,place_in_slider,place_in_slider,4,2.992640256881714,2.7784311771392822,1.1118531227111816,1.5585428476333618,5.901728630065918,3.9223239421844482,6,1,0.07463783025741577,1.5560404062271118,3.9223239421844482,0.9454681277275085,0.3058837354183197
observed,127,24,turn_off_lightbulb,turn_off_lightbulb,4,3.3835365772247314,3.136186122894287,1.2699044942855835,0.7200186848640442,4.6793012619018555,3.2879881858825684,4,1,0.053477343171834946,0.7908381223678589,3.2879881858825684,1.8502682447433472,0.28614160418510437
observed,128,24,place_in_slider,place_in_slider,4,2.968552827835083,2.377788782119751,1.7771962881088257,1.6428388357162476,5.302177906036377,3.4887759685516357,6,1,0.08811492472887039,1.7860896587371826,3.4887759685516357,1.7766698598861694,0.1429024487733841
